variant,contradiction_class,n_features,mean_importance_score,mean_ablation_score,mean_stability_score,mean_FRS,mean_contradiction
BIOMARKERS,CONVERGENT_SIGNAL,0,,,,,
BIOMARKERS,ATTRIBUTION_EXCESS,1,1.0,0.0,0.803864989980066,1.0,1.0
BIOMARKERS,LATENT_DEPENDENCE,4,0.0196688520946771,0.8595927116827438,0.6349739910549749,0.5572468551500921,0.8399238595880666
BIOMARKERS,RELIABLE_NONDOMINANT,0,,,,,
BIOMARKERS,LOW_EVIDENCE,4,0.12072174686076215,0.4884780278670954,0.8093098366968527,0.5310518125559127,0.36775628100633323
BIOMARKERS,UNRESOLVED,1,0.0,,0.4612979231994318,0.0,
CLINICAL,CONVERGENT_SIGNAL,0,,,,,
CLINICAL,ATTRIBUTION_EXCESS,1,1.0,0.0,0.5,1.0,1.0
CLINICAL,LATENT_DEPENDENCE,4,0.0,0.821428571428571,0.79482916219921,0.7095414895826222,0.821428571428571
CLINICAL,RELIABLE_NONDOMINANT,2,0.0,0.5803571428571437,0.90029791219921,0.6946790999637471,0.5803571428571437
CLINICAL,LOW_EVIDENCE,13,0.0036138358286005846,0.1689560439560448,0.8470444343261291,0.44280584006920687,0.17256987978464536
CLINICAL,UNRESOLVED,23,0.06623869273416927,,0.673865731739078,0.25042205589836986,
FULL,CONVERGENT_SIGNAL,0,,,,,
FULL,ATTRIBUTION_EXCESS,1,1.0,0.0,1.0,1.0,1.0
FULL,LATENT_DEPENDENCE,14,0.0002818158333528428,0.7626262626262628,0.5010831406392195,0.4591961867499948,0.7623444467929098
FULL,RELIABLE_NONDOMINANT,0,,,,,
FULL,LOW_EVIDENCE,5,0.03559099128719374,0.5512626262626262,0.5912088568532918,0.4512155806358994,0.5156716349754326
FULL,UNRESOLVED,34,0.0006092195221011117,,0.46458432118838244,0.23259677035524182,
