variant,winner_model,feature,importance_mean_nonneg,ablation_delta_auc_mean,importance_score,ablation_score,stability_score,FRS,contradiction_abs,contradiction_signed,feature_class,contradiction_class,complete_case_flag
BIOMARKERS,RF_SHALLOW,72_kda_pro_mmp_2,0.2856825396825396,0.1376190476190475,1.0,0.0,0.803864989980066,1.0,1.0,1.0,SPURIOUS_IMPORTANCE,ATTRIBUTION_EXCESS,1
BIOMARKERS,RF_SHALLOW,non_hdl_calkowity_hdl,0.0,0.5819047619047618,0.0,1.0,0.572409034310543,0.4551810678452777,1.0,-1.0,HIDDEN_SIGNAL,LATENT_DEPENDENCE,1
BIOMARKERS,RF_SHALLOW,wyniki_klotho_pg_ml,0.0,0.5566666666666664,0.0,0.9431939978563768,0.5168534787549874,0.3926452298191797,0.9431939978563768,-0.9431939978563768,HIDDEN_SIGNAL,LATENT_DEPENDENCE,1
BIOMARKERS,RF_SHALLOW,ldl,0.0014444444444444,0.4647619047619046,0.0050561173463716,0.7363344051446944,0.6853219971396985,0.444854792461978,0.7312782877983228,-0.7312782877983228,HIDDEN_SIGNAL,LATENT_DEPENDENCE,1
BIOMARKERS,RF_SHALLOW,hdl,0.021031746031746,0.4747619047619047,0.0736192910323368,0.7588424437299036,0.7653114540146704,0.936306330473933,0.6852231526975668,-0.6852231526975668,HIDDEN_SIGNAL,LATENT_DEPENDENCE,1
BIOMARKERS,RF_SHALLOW,il_6_pg_ml,0.0008253968253968,0.429047619047619,0.0028892099122123,0.6559485530546625,0.6289942194192668,0.3713481396909908,0.6530593431424502,-0.6530593431424502,LOW_SIGNAL,LOW_EVIDENCE,1
BIOMARKERS,RF_SHALLOW,tnfalfa_pg_ml,0.0293333333333333,0.4038095238095237,0.1026780753417045,0.5991425509110396,0.8162108436691904,0.5639660691831181,0.49646447556933515,-0.49646447556933515,LOW_SIGNAL,LOW_EVIDENCE,1
BIOMARKERS,RF_SHALLOW,wyniki_fgf23_pg_ml,0.0489523809523809,0.3404761904761904,0.1713523724858316,0.4565916398713826,0.86840249585146,0.6009031392435973,0.28523926738555105,-0.28523926738555105,LOW_SIGNAL,LOW_EVIDENCE,1
BIOMARKERS,RF_SHALLOW,emmprin,0.0588412698412698,0.2452380952380951,0.2059673297033002,0.2422293676312968,0.9236317878474936,0.5879899021059449,0.03626203792799659,-0.03626203792799659,LOW_SIGNAL,LOW_EVIDENCE,1
BIOMARKERS,RF_SHALLOW,cholesterol_calkowity_tc,0.0,,0.0,,0.4612979231994318,0.0,,,UNRESOLVED,UNRESOLVED,0
CLINICAL,RF_SHALLOW,wiek_w_momencie_zbiorki,0.0047301587301587,0.0,1.0,0.0,0.5,1.0,1.0,1.0,SPURIOUS_IMPORTANCE,ATTRIBUTION_EXCESS,1
CLINICAL,RF_SHALLOW,leukocytoza_przyjecie_10000,0.0,0.0533333333333334,0.0,1.0,0.64248541219921,0.6473396367332538,1.0,-1.0,HIDDEN_SIGNAL,LATENT_DEPENDENCE,1
CLINICAL,RF_SHALLOW,otylosc_bmi_30,0.0,0.0457142857142858,0.0,0.8571428571428571,0.72061041219921,0.6539451432305317,0.8571428571428571,-0.8571428571428571,HIDDEN_SIGNAL,LATENT_DEPENDENCE,1
CLINICAL,RF_SHALLOW,krwawienie,0.0,0.0390476190476191,0.0,0.7321428571428567,0.90811041219921,0.7772479311797227,0.7321428571428567,-0.7321428571428567,HIDDEN_SIGNAL,LATENT_DEPENDENCE,1
CLINICAL,RF_SHALLOW,zapalenie_miesnia_serca,0.0,0.0371428571428571,0.0,0.6964285714285698,0.90811041219921,0.7596332471869804,0.6964285714285698,-0.6964285714285698,HIDDEN_SIGNAL,LATENT_DEPENDENCE,1
CLINICAL,RF_SHALLOW,zaburzenia_homeostazy_glukozy_6,0.0,0.0352380952380954,0.0,0.6607142857142873,0.73623541219921,0.5724772297641025,0.6607142857142873,-0.6607142857142873,LOW_SIGNAL,LOW_EVIDENCE,1
CLINICAL,RF_SHALLOW,ile_lat_mizdzyca_konczyn,0.0,0.0314285714285715,0.0,0.5892857142857159,0.90811041219921,0.7067891952087574,0.5892857142857159,-0.5892857142857159,LOW_SIGNAL,RELIABLE_NONDOMINANT,1
CLINICAL,RF_SHALLOW,ace_i,0.0,0.0304761904761905,0.0,0.5714285714285714,0.89248541219921,0.6825690047187368,0.5714285714285714,-0.5714285714285714,LOW_SIGNAL,RELIABLE_NONDOMINANT,1
CLINICAL,RF_SHALLOW,bmi,0.0,0.0219047619047619,0.0,0.4107142857142862,0.6569845224638822,0.3709995966003521,0.4107142857142862,-0.4107142857142862,LOW_SIGNAL,LOW_EVIDENCE,1
CLINICAL,RF_SHALLOW,gfr_min,0.0,0.0180952380952381,0.0,0.3392857142857148,0.81436041219921,0.4910093162976723,0.3392857142857148,-0.3392857142857148,LOW_SIGNAL,LOW_EVIDENCE,1
CLINICAL,RF_SHALLOW,ile_lat_1,0.0,0.0152380952380953,0.0,0.2857142857142878,0.90811041219921,0.5570643812704539,0.2857142857142878,-0.2857142857142878,LOW_SIGNAL,LOW_EVIDENCE,1
CLINICAL,RF_SHALLOW,crt_d_device,0.0,0.0133333333333334,0.0,0.250000000000001,0.90811041219921,0.5394496972777119,0.250000000000001,-0.250000000000001,LOW_SIGNAL,LOW_EVIDENCE,1
CLINICAL,RF_SHALLOW,crp_5_zapalenie,0.0,0.0104761904761906,0.0,0.196428571428574,0.82998541219921,0.4359634288203558,0.196428571428574,-0.196428571428574,LOW_SIGNAL,LOW_EVIDENCE,1
CLINICAL,RF_SHALLOW,wrodzona_wada_serca,0.0,0.002857142857143,0.0,0.0535714285714311,0.90811041219921,0.4425689353176339,0.0535714285714311,-0.0535714285714311,LOW_SIGNAL,LOW_EVIDENCE,1
CLINICAL,RF_SHALLOW,wbc_przyjecie,0.0002222222222222,0.0,0.0469798657718076,0.0,0.927878589584486,0.4819886678198908,0.0469798657718076,0.0469798657718076,LOW_SIGNAL,LOW_EVIDENCE,1
CLINICAL,RF_SHALLOW,arb,0.0,0.0,0.0,0.0,0.90811041219921,0.4161469093285201,0.0,0.0,LOW_SIGNAL,LOW_EVIDENCE,1
CLINICAL,RF_SHALLOW,bb,0.0,0.0,0.0,0.0,0.90811041219921,0.4161469093285201,0.0,0.0,LOW_SIGNAL,LOW_EVIDENCE,1
CLINICAL,RF_SHALLOW,ile_lat_miazdzyca_t_szyjnych,0.0,0.0,0.0,0.0,0.90811041219921,0.4161469093285201,0.0,0.0,LOW_SIGNAL,LOW_EVIDENCE,1
CLINICAL,RF_SHALLOW,stymulator,0.0,0.0,0.0,0.0,0.90811041219921,0.4161469093285201,0.0,0.0,LOW_SIGNAL,LOW_EVIDENCE,1
CLINICAL,RF_SHALLOW,ile_lat_pali,0.0,0.0,0.0,0.0,0.68936041219921,0.2003670304174356,0.0,0.0,LOW_SIGNAL,LOW_EVIDENCE,1
CLINICAL,RF_SHALLOW,waga_kg,0.0037460317460317,,0.7919463087248275,,0.5912656189384218,0.8847976406533347,,,UNRESOLVED,UNRESOLVED,0
CLINICAL,RF_SHALLOW,zaburzenia_rytmu,0.0019047619047619,,0.4026845637583908,,0.7756295188877194,0.6826818363701784,,,UNRESOLVED,UNRESOLVED,0
CLINICAL,RF_SHALLOW,nadcisnienie_tetnicze_nt,0.0015555555555555,,0.3288590604026749,,0.7979334481884546,0.6318598066060996,,,UNRESOLVED,UNRESOLVED,0
CLINICAL,RF_SHALLOW,noac,0.0,,0.0,,0.87686041219921,0.3853212123412224,,,UNRESOLVED,UNRESOLVED,0
CLINICAL,RF_SHALLOW,nabyta_wada_serca,0.0,,0.0,,0.86123541219921,0.3699083638475734,,,UNRESOLVED,UNRESOLVED,0
CLINICAL,RF_SHALLOW,wzrost_cm,0.0,,0.0,,0.84561041219921,0.3544955153539246,,,UNRESOLVED,UNRESOLVED,0
CLINICAL,RF_SHALLOW,cad,0.0,,0.0,,0.79873541219921,0.3082569698729779,,,UNRESOLVED,UNRESOLVED,0
CLINICAL,RF_SHALLOW,hba1c,0.0,,0.0,,0.78311041219921,0.2928441213793291,,,UNRESOLVED,UNRESOLVED,0
CLINICAL,RF_SHALLOW,petlowy,0.0,,0.0,,0.76748541219921,0.27743127288568,,,UNRESOLVED,UNRESOLVED,0
CLINICAL,RF_SHALLOW,mpv_przyjecie,0.0,,0.0,,0.75186041219921,0.2620184243920312,,,UNRESOLVED,UNRESOLVED,0
CLINICAL,RF_SHALLOW,cukrzyca_dm,0.0,,0.0,,0.70498541219921,0.2157798789110845,,,UNRESOLVED,UNRESOLVED,0
CLINICAL,RF_SHALLOW,obwod_bioder,0.0,,0.0,,0.70498541219921,0.2157798789110845,,,UNRESOLVED,UNRESOLVED,0
CLINICAL,RF_SHALLOW,czy_pali,0.0,,0.0,,0.67373541219921,0.1849541819237867,,,UNRESOLVED,UNRESOLVED,0
CLINICAL,RF_SHALLOW,pct_przyjecie,0.0,,0.0,,0.62686041219921,0.13871563644284,,,UNRESOLVED,UNRESOLVED,0
CLINICAL,RF_SHALLOW,trijglicerydy_tg,0.0,,0.0,,0.61123541219921,0.1233027879491911,,,UNRESOLVED,UNRESOLVED,0
CLINICAL,RF_SHALLOW,kwas_moczowy,0.0,,0.0,,0.59561041219921,0.1078899394555422,,,UNRESOLVED,UNRESOLVED,0
CLINICAL,RF_SHALLOW,rbc_przyjecie,0.0,,0.0,,0.57998541219921,0.0924770909618933,,,UNRESOLVED,UNRESOLVED,0
CLINICAL,RF_SHALLOW,p_lcr_przyjecie,0.0,,0.0,,0.56436041219921,0.0770642424682444,,,UNRESOLVED,UNRESOLVED,0
CLINICAL,RF_SHALLOW,plt_przyjecie,0.0,,0.0,,0.54873541219921,0.0616513939745955,,,UNRESOLVED,UNRESOLVED,0
CLINICAL,RF_SHALLOW,klop,0.0,,0.0,,0.53311041219921,0.0462385454809466,,,UNRESOLVED,UNRESOLVED,0
CLINICAL,RF_SHALLOW,ht_przyjecie,0.0,,0.0,,0.51748541219921,0.0308256969872977,,,UNRESOLVED,UNRESOLVED,0
CLINICAL,RF_SHALLOW,pdw_przyjecie,0.0,,0.0,,0.50186041219921,0.0154128484936488,,,UNRESOLVED,UNRESOLVED,0
CLINICAL,RF_SHALLOW,hb_przyjecie,0.0,,0.0,,0.4862354121992099,0.0,,,UNRESOLVED,UNRESOLVED,0
