variant,threshold,feature_class_threshold,n_features
BIOMARKERS,0.5,TRUE_SIGNAL,0
BIOMARKERS,0.5,SPURIOUS_IMPORTANCE,1
BIOMARKERS,0.5,HIDDEN_SIGNAL,6
BIOMARKERS,0.5,LOW_SIGNAL,2
BIOMARKERS,0.5,UNRESOLVED,1
BIOMARKERS,0.6,TRUE_SIGNAL,0
BIOMARKERS,0.6,SPURIOUS_IMPORTANCE,1
BIOMARKERS,0.6,HIDDEN_SIGNAL,5
BIOMARKERS,0.6,LOW_SIGNAL,3
BIOMARKERS,0.6,UNRESOLVED,1
BIOMARKERS,0.67,TRUE_SIGNAL,0
BIOMARKERS,0.67,SPURIOUS_IMPORTANCE,1
BIOMARKERS,0.67,HIDDEN_SIGNAL,4
BIOMARKERS,0.67,LOW_SIGNAL,4
BIOMARKERS,0.67,UNRESOLVED,1
BIOMARKERS,0.75,TRUE_SIGNAL,0
BIOMARKERS,0.75,SPURIOUS_IMPORTANCE,1
BIOMARKERS,0.75,HIDDEN_SIGNAL,3
BIOMARKERS,0.75,LOW_SIGNAL,5
BIOMARKERS,0.75,UNRESOLVED,1
BIOMARKERS,0.8,TRUE_SIGNAL,0
BIOMARKERS,0.8,SPURIOUS_IMPORTANCE,1
BIOMARKERS,0.8,HIDDEN_SIGNAL,2
BIOMARKERS,0.8,LOW_SIGNAL,6
BIOMARKERS,0.8,UNRESOLVED,1
CLINICAL,0.5,TRUE_SIGNAL,0
CLINICAL,0.5,SPURIOUS_IMPORTANCE,1
CLINICAL,0.5,HIDDEN_SIGNAL,7
CLINICAL,0.5,LOW_SIGNAL,12
CLINICAL,0.5,UNRESOLVED,23
CLINICAL,0.6,TRUE_SIGNAL,0
CLINICAL,0.6,SPURIOUS_IMPORTANCE,1
CLINICAL,0.6,HIDDEN_SIGNAL,5
CLINICAL,0.6,LOW_SIGNAL,14
CLINICAL,0.6,UNRESOLVED,23
CLINICAL,0.67,TRUE_SIGNAL,0
CLINICAL,0.67,SPURIOUS_IMPORTANCE,1
CLINICAL,0.67,HIDDEN_SIGNAL,4
CLINICAL,0.67,LOW_SIGNAL,15
CLINICAL,0.67,UNRESOLVED,23
CLINICAL,0.75,TRUE_SIGNAL,0
CLINICAL,0.75,SPURIOUS_IMPORTANCE,1
CLINICAL,0.75,HIDDEN_SIGNAL,2
CLINICAL,0.75,LOW_SIGNAL,17
CLINICAL,0.75,UNRESOLVED,23
CLINICAL,0.8,TRUE_SIGNAL,0
CLINICAL,0.8,SPURIOUS_IMPORTANCE,1
CLINICAL,0.8,HIDDEN_SIGNAL,2
CLINICAL,0.8,LOW_SIGNAL,17
CLINICAL,0.8,UNRESOLVED,23
FULL,0.5,TRUE_SIGNAL,0
FULL,0.5,SPURIOUS_IMPORTANCE,1
FULL,0.5,HIDDEN_SIGNAL,18
FULL,0.5,LOW_SIGNAL,1
FULL,0.5,UNRESOLVED,34
FULL,0.6,TRUE_SIGNAL,0
FULL,0.6,SPURIOUS_IMPORTANCE,1
FULL,0.6,HIDDEN_SIGNAL,17
FULL,0.6,LOW_SIGNAL,2
FULL,0.6,UNRESOLVED,34
FULL,0.67,TRUE_SIGNAL,0
FULL,0.67,SPURIOUS_IMPORTANCE,1
FULL,0.67,HIDDEN_SIGNAL,14
FULL,0.67,LOW_SIGNAL,5
FULL,0.67,UNRESOLVED,34
FULL,0.75,TRUE_SIGNAL,0
FULL,0.75,SPURIOUS_IMPORTANCE,1
FULL,0.75,HIDDEN_SIGNAL,8
FULL,0.75,LOW_SIGNAL,11
FULL,0.75,UNRESOLVED,34
FULL,0.8,TRUE_SIGNAL,0
FULL,0.8,SPURIOUS_IMPORTANCE,1
FULL,0.8,HIDDEN_SIGNAL,2
FULL,0.8,LOW_SIGNAL,17
FULL,0.8,UNRESOLVED,34
