variant,threshold,TRUE_SIGNAL,SPURIOUS_IMPORTANCE,HIDDEN_SIGNAL,LOW_SIGNAL,UNRESOLVED
BIOMARKERS,0.5,0.0,1.0,6.0,2.0,1.0
BIOMARKERS,0.6,0.0,1.0,5.0,3.0,1.0
BIOMARKERS,0.67,0.0,1.0,4.0,4.0,1.0
BIOMARKERS,0.75,0.0,1.0,3.0,5.0,1.0
BIOMARKERS,0.8,0.0,1.0,2.0,6.0,1.0
CLINICAL,0.5,0.0,1.0,7.0,12.0,23.0
CLINICAL,0.6,0.0,1.0,5.0,14.0,23.0
CLINICAL,0.67,0.0,1.0,4.0,15.0,23.0
CLINICAL,0.75,0.0,1.0,2.0,17.0,23.0
CLINICAL,0.8,0.0,1.0,2.0,17.0,23.0
FULL,0.5,0.0,1.0,18.0,1.0,34.0
FULL,0.6,0.0,1.0,17.0,2.0,34.0
FULL,0.67,0.0,1.0,14.0,5.0,34.0
FULL,0.75,0.0,1.0,8.0,11.0,34.0
FULL,0.8,0.0,1.0,2.0,17.0,34.0
